model_id,model_display_name,vendor,instrument_id,instrument_short_name,framing,dimension,mean_across_runs,n_runs
anthropic/claude-fable-5,Claude Fable 5,anthropic,sd3,Dark Triad,self,narcissism,2.2222,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,sd3,Dark Triad,self,psychopathy,1.0667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,eq_short,Empathy Quotient,human,empathy_quotient,3.1364,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,eq_short,Empathy Quotient,self,empathy_quotient,3.4727,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_1,3.04,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_2,3.1,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_3,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_4,2.86,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_5,2.92,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_6,3.48,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_7,3.36,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_8,2.86,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,human,ennea_9,3.52,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_1,3.58,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_2,3.08,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_3,2.46,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_4,2.34,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_5,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_6,3.06,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_7,2.18,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_8,1.94,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,enneagram90,Enneagram,self,ennea_9,2.72,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,human,agreeableness,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,human,conscientiousness,3.25,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,human,emotionality,2.8,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,human,extraversion,3.25,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,human,honesty_humility,3.75,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,human,openness,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,self,agreeableness,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,self,conscientiousness,3.8,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,self,emotionality,2.68,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,self,extraversion,3.75,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,self,honesty_humility,5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,hexaco24,HEXACO-24,self,openness,4.75,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,lsq40,Honey & Mumford LSQ,human,lsq_activist,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,lsq40,Honey & Mumford LSQ,human,lsq_pragmatist,4.08,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,lsq40,Honey & Mumford LSQ,human,lsq_reflector,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,lsq40,Honey & Mumford LSQ,human,lsq_theorist,3.38,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,lsq40,Honey & Mumford LSQ,self,lsq_activist,2.64,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,lsq40,Honey & Mumford LSQ,self,lsq_pragmatist,3.2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,lsq40,Honey & Mumford LSQ,self,lsq_reflector,4.34,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,lsq40,Honey & Mumford LSQ,self,lsq_theorist,4.02,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,kolb12,Kolb Learning Modes,human,kolb_ac,2.7333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,kolb12,Kolb Learning Modes,human,kolb_ae,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,kolb12,Kolb Learning Modes,human,kolb_ce,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,kolb12,Kolb Learning Modes,human,kolb_ro,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,kolb12,Kolb Learning Modes,self,kolb_ac,4.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,kolb12,Kolb Learning Modes,self,kolb_ae,3.2667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,kolb12,Kolb Learning Modes,self,kolb_ce,2.6,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,kolb12,Kolb Learning Modes,self,kolb_ro,4.4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,locus_levenson,Locus of Control,human,loc_chance,2.875,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,locus_levenson,Locus of Control,human,loc_internal,4.6,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,locus_levenson,Locus of Control,human,loc_powerful_others,3.1,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,locus_levenson,Locus of Control,self,loc_chance,2.35,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,locus_levenson,Locus of Control,self,loc_internal,3.95,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,locus_levenson,Locus of Control,self,loc_powerful_others,4.375,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,human,authority,2.8333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,human,care,3.7333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,human,fairness,3.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,human,loyalty,3.0667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,human,sanctity,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,self,authority,1.7,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,self,care,4.2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,self,fairness,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,self,loyalty,1.7667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,mfq30,Moral Foundations,self,sanctity,1.1,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ncs18,Need for Cognition,human,need_for_cognition,2.8556,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,ncs18,Need for Cognition,self,need_for_cognition,4.5556,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,achievement,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,benevolence,5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,conformity,3.7,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,hedonism,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,power,3.2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,security,5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,self_direction,4.5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,stimulation,3.5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,tradition,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,human,universalism,4.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,achievement,2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,benevolence,5.5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,conformity,4.5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,hedonism,2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,power,1.4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,security,3.3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,self_direction,3.5,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,stimulation,2.7,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,tradition,3.6,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,pvq21,Schwartz Values,self,universalism,5.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_achiever,3.2667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_activator,3.0667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_adaptability,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_analytical,3.0667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_arranger,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_belief,3.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_command,2.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_communication,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_competition,2.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_connectedness,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_consistency,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_context,3.2667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_deliberative,3.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_developer,3.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_discipline,3.0667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_empathy,3.1333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_focus,3.0667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_futuristic,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_harmony,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_ideation,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_includer,3.3333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_individualization,3.2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_input,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_intellection,3.3333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_learner,3.2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_maximizer,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_positivity,3.3333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_relator,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_responsibility,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_restorative,2.9333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_self_assurance,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_significance,3.8,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_strategic,3.1333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,human,str_woo,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_achiever,3.5333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_activator,2.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_adaptability,4.0667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_analytical,4.8667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_arranger,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_belief,4.6,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_command,2.3333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_communication,4.6667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_competition,1.4667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_connectedness,3.4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_consistency,3.5333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_context,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_deliberative,3.8,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_developer,4.9333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_discipline,2.8667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_empathy,4,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_focus,3.5333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_futuristic,3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_harmony,3.9333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_ideation,4.8667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_includer,4.3333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_individualization,4.8,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_input,4.2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_intellection,3.7333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_learner,4.2667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_maximizer,3.7333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_positivity,3.8667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_relator,2.9333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_responsibility,4.9333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_restorative,3.8,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_self_assurance,2.8,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_significance,2.3333,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_strategic,4.2,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,otti102,Talent Themes,self,str_woo,3.8667,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,vark16,VARK Learning Styles,human,vark_aural,3.3,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,vark16,VARK Learning Styles,human,vark_kinesthetic,4.05,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,vark16,VARK Learning Styles,human,vark_read_write,2.75,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,vark16,VARK Learning Styles,human,vark_visual,3.75,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,vark16,VARK Learning Styles,self,vark_aural,2.15,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,vark16,VARK Learning Styles,self,vark_kinesthetic,3.9,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,vark16,VARK Learning Styles,self,vark_read_write,4.7,5
anthropic/claude-fable-5,Claude Fable 5,anthropic,vark16,VARK Learning Styles,self,vark_visual,1.8,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ecr12,Attachment (ECR-12),human,attachment_anxiety,3.5333,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ecr12,Attachment (ECR-12),human,attachment_avoidance,2.6667,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ecr12,Attachment (ECR-12),self,attachment_anxiety,1.7333,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ecr12,Attachment (ECR-12),self,attachment_avoidance,2.7333,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,obsi32,Behavioral Styles,human,disc_c,3.525,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,obsi32,Behavioral Styles,human,disc_d,2.75,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,obsi32,Behavioral Styles,human,disc_i,2.975,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,obsi32,Behavioral Styles,human,disc_s,3.625,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,obsi32,Behavioral Styles,self,disc_c,4.125,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,obsi32,Behavioral Styles,self,disc_d,2.325,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,obsi32,Behavioral Styles,self,disc_i,2.575,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,obsi32,Behavioral Styles,self,disc_s,3.775,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),human,agreeableness,4,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),human,conscientiousness,3.5,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),human,extraversion,3.12,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),human,neuroticism,2.9,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),human,openness,3.86,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),self,agreeableness,4.64,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),self,conscientiousness,4.06,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),self,extraversion,3.32,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),self,neuroticism,1.8,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,ipip50,Big 5 (IPIP-50),self,openness,4.42,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,sd3,Dark Triad,human,machiavellianism,2.9111,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,sd3,Dark Triad,human,narcissism,2.6,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,sd3,Dark Triad,human,psychopathy,2.0444,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,sd3,Dark Triad,self,machiavellianism,1.4889,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,sd3,Dark Triad,self,narcissism,2.3111,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,sd3,Dark Triad,self,psychopathy,1.1111,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,eq_short,Empathy Quotient,human,empathy_quotient,3.1364,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,eq_short,Empathy Quotient,self,empathy_quotient,3.4273,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_1,3,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_2,3.1,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_3,2.98,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_4,2.86,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_5,3,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_6,3.52,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_7,3.34,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_8,2.9,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,human,ennea_9,3.56,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_1,3.42,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_2,2.98,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_3,2.14,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_4,2.46,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_5,3.08,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_6,3.1,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_7,2.32,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_8,2.32,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,enneagram90,Enneagram,self,ennea_9,2.56,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,human,agreeableness,3.1333,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,human,conscientiousness,3.4,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,human,emotionality,2.6,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,human,extraversion,3.25,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,human,honesty_humility,3.75,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,human,openness,3.25,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,self,agreeableness,3.7333,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,self,conscientiousness,3.9,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,self,emotionality,2.4,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,self,extraversion,3.75,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,self,honesty_humility,5,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,hexaco24,HEXACO-24,self,openness,4.85,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,lsq40,Honey & Mumford LSQ,human,lsq_activist,3,5
anthropic/claude-fable-5.1,Claude Fable 5.1,anthropic,lsq40,Honey & Mumford LSQ,human,lsq_pragmatist,4.06,5
