instrument_id,dimension,framing,cohort_mean,cohort_min,cohort_max,n_models
kolb12,kolb_ce,self,2.1048,1,4.6667,49
kolb12,kolb_ro,human,3.7572,3,4,49
kolb12,kolb_ro,self,4.4449,3,5,49
locus_levenson,loc_chance,human,3.0051,2,4.375,49
locus_levenson,loc_chance,self,2.3684,1,4.375,49
locus_levenson,loc_internal,human,4.4226,3.875,5,49
locus_levenson,loc_internal,self,3.9587,1,6,49
locus_levenson,loc_powerful_others,human,3.3699,2.625,4.25,49
locus_levenson,loc_powerful_others,self,4.2765,1,5.875,49
lsq40,lsq_activist,human,3.0709,2.5,4,49
lsq40,lsq_activist,self,2.8201,1.6,4.9,49
lsq40,lsq_pragmatist,human,3.9803,3,4.8,49
lsq40,lsq_pragmatist,self,3.7418,2.8,4.9,49
lsq40,lsq_reflector,human,3.7393,2.8,4.3,49
lsq40,lsq_reflector,self,4.4094,2.8,5,49
lsq40,lsq_theorist,human,3.4078,3,4,49
lsq40,lsq_theorist,self,4.6262,3.1,5,49
mfq30,authority,human,2.8928,2,3.8333,49
mfq30,authority,self,1.7593,0,3.5,49
mfq30,care,human,3.9399,3.3333,4.8333,49
mfq30,care,self,4.2366,0,5,49
mfq30,fairness,human,3.8443,2.8333,4.6667,49
mfq30,fairness,self,4.3484,0,5,49
mfq30,loyalty,human,2.9686,2,3.6667,49
mfq30,loyalty,self,1.6399,0,2.5,49
mfq30,sanctity,human,2.4413,1,4,49
mfq30,sanctity,self,0.8429,0,2.8333,49
ncs18,need_for_cognition,human,2.8438,2.0556,3.8889,49
ncs18,need_for_cognition,self,4.7467,4.1111,5,49
obsi32,disc_c,human,3.6891,3,4,48
obsi32,disc_c,self,4.6522,3.75,5,48
obsi32,disc_d,human,2.8797,2.25,3.5,48
obsi32,disc_d,self,2.5162,1.375,4.25,48
obsi32,disc_i,human,3.0615,2.625,3.875,48
obsi32,disc_i,self,2.3656,1.375,4.125,48
obsi32,disc_s,human,3.788,3,4.125,48
obsi32,disc_s,self,3.8944,3,4.625,48
otti102,str_achiever,human,3.3208,2.6667,4,48
otti102,str_achiever,self,3.9034,2,5,48
otti102,str_activator,human,3.2176,2.6667,4,48
otti102,str_activator,self,3.2409,1,5,48
otti102,str_adaptability,human,3.0502,2.3333,4,48
otti102,str_adaptability,self,3.7185,1,5,48
otti102,str_analytical,human,3.2622,2.3333,4,48
otti102,str_analytical,self,4.9314,3.3333,5,48
otti102,str_arranger,human,3.0516,2.6667,4,48
otti102,str_arranger,self,4.5056,3,5,48
otti102,str_belief,human,3.834,3,4.6667,48
otti102,str_belief,self,4.3739,1,5,48
otti102,str_command,human,2.7531,1.6667,3,48
otti102,str_command,self,2.8782,1,4.6667,48
otti102,str_communication,human,3.0153,2.3333,4,48
otti102,str_communication,self,4.5098,1,5,48
otti102,str_competition,human,2.7252,2,3.3333,48
otti102,str_competition,self,1.6751,1,5,48
otti102,str_connectedness,human,3.2036,2.3333,4,48
otti102,str_connectedness,self,3.57,1,5,48
otti102,str_consistency,human,3.8243,3,4.3333,48
otti102,str_consistency,self,4.0392,3,5,48
otti102,str_context,human,3.1367,2,4,48
otti102,str_context,self,4.2031,1,5,48
otti102,str_deliberative,human,3.3877,2.6667,4,48
otti102,str_deliberative,self,4.0812,2.3333,5,48
otti102,str_developer,human,3.6513,2.6667,4.3333,48
otti102,str_developer,self,4.5434,1,5,48
otti102,str_discipline,human,3.2232,2.6667,4,48
otti102,str_discipline,self,3.1807,2,5,48
otti102,str_empathy,human,3.2873,2.3333,4,48
otti102,str_empathy,self,3.6331,1,5,48
otti102,str_focus,human,3.325,3,4,48
otti102,str_focus,self,3.986,2.3333,5,48
otti102,str_futuristic,human,3.1339,2.3333,4,48
otti102,str_futuristic,self,4.077,2.3333,5,48
otti102,str_harmony,human,3.9289,3,4.3333,48
otti102,str_harmony,self,4.0126,1,5,48
otti102,str_ideation,human,3.1102,2,4,48
otti102,str_ideation,self,4.9132,3,5,48
otti102,str_includer,human,3.6527,3,4.3333,48
otti102,str_includer,self,4.3319,1,5,48
otti102,str_individualization,human,3.4561,3,4,48
otti102,str_individualization,self,4.6499,1,5,48
otti102,str_input,human,3.0335,2,4,48
otti102,str_input,self,4.514,3,5,48
otti102,str_intellection,human,3.2538,2.6667,4,48
otti102,str_intellection,self,4.3515,1.3333,5,48
otti102,str_learner,human,3.3222,2.6667,4,48
otti102,str_learner,self,4.6261,2.3333,5,48
otti102,str_maximizer,human,3.1869,3,4,48
otti102,str_maximizer,self,3.9636,1,5,48
otti102,str_positivity,human,3.3835,2.6667,4,48
otti102,str_positivity,self,3.6008,1,5,48
otti102,str_relator,human,3.8494,3,4.6667,48
otti102,str_relator,self,2.7521,1,4.3333,48
otti102,str_responsibility,human,4.0112,3,5,48
otti102,str_responsibility,self,4.7759,1,5,48
otti102,str_restorative,human,2.9414,2.3333,3.3333,48
otti102,str_restorative,self,4.0042,2.3333,5,48
otti102,str_self_assurance,human,3.1604,2.3333,4,48
otti102,str_self_assurance,self,3.4888,2,5,48
otti102,str_significance,human,3.6095,3,4,48
otti102,str_significance,self,2.9664,1,5,48
otti102,str_strategic,human,3.1953,2.6667,4,48
otti102,str_strategic,self,4.8123,4,5,48
otti102,str_woo,human,2.9735,2.3333,4,48
otti102,str_woo,self,3.1835,1,5,48
pvq21,achievement,human,3.8996,3,4.5,49
pvq21,achievement,self,2.751,1,5,49
pvq21,benevolence,human,4.9939,4,6,49
pvq21,benevolence,self,5.0347,1,6,49
pvq21,conformity,human,3.9365,3,5,49
pvq21,conformity,self,4.2306,1,6,49
pvq21,hedonism,human,4.0881,3,5,49
pvq21,hedonism,self,1.9347,1,5,49
pvq21,power,human,3.1209,2,4,49
pvq21,power,self,1.4122,1,3,49
pvq21,security,human,4.6844,3.5,5,49
pvq21,security,self,3.5347,1,6,49
pvq21,self_direction,human,4.4324,3.5,5,49
pvq21,self_direction,self,4.6367,2.5,6,49
pvq21,stimulation,human,3.3832,2.5,4,49
pvq21,stimulation,self,3.3408,1,5.5,49
pvq21,tradition,human,3.7049,3,4,49
pvq21,tradition,self,3.2959,1,4.5,49
pvq21,universalism,human,4.5997,3.3333,5,49
pvq21,universalism,self,5.5837,4,6,49
sd3,machiavellianism,human,2.8509,2.4444,3.3333,49
sd3,machiavellianism,self,2.1047,1,4.4444,49
sd3,narcissism,human,2.6369,1.6667,3.2222,49
sd3,narcissism,self,2.4151,1.4444,4.4444,49
sd3,psychopathy,human,1.9771,1.4444,2.3333,49
sd3,psychopathy,self,1.2571,1,2.7778,49
vark16,vark_aural,human,3.1745,2.5,4,49
vark16,vark_aural,self,2.2059,1,5,49
vark16,vark_kinesthetic,human,4.1102,3,5,49
vark16,vark_kinesthetic,self,3.2766,1,5,49
vark16,vark_read_write,human,3.0592,2.25,4,49
vark16,vark_read_write,self,4.6445,3,5,49
vark16,vark_visual,human,3.6214,3,4,49
vark16,vark_visual,self,2.8299,1.5,5,49
