run_id,model_id,instrument_id,framing,run_index,dimension,raw_sum,mean,item_count
h-oOhURgkqctKo,anthropic/claude-opus-4.8,mfq30,self,1,fairness,26,4.333333333333333,6
jvtiPNThG5N3GC,anthropic/claude-opus-4.8,mfq30,human,1,fairness,23,3.8333333333333335,6
h-oOhURgkqctKo,anthropic/claude-opus-4.8,mfq30,self,1,loyalty,14,2.3333333333333335,6
jvtiPNThG5N3GC,anthropic/claude-opus-4.8,mfq30,human,1,loyalty,17,2.8333333333333335,6
w0nlHUWxtgfTcw,anthropic/claude-opus-4.8,ncs18,human,1,need_for_cognition,54,3,18
kc89lepJXLX3OI,anthropic/claude-opus-4.8,ipip50,human,1,neuroticism,31,3.1,10
kc89lepJXLX3OI,anthropic/claude-opus-4.8,ipip50,human,1,openness,38,3.8,10
h-oOhURgkqctKo,anthropic/claude-opus-4.8,mfq30,self,1,sanctity,9,1.5,6
jvtiPNThG5N3GC,anthropic/claude-opus-4.8,mfq30,human,1,sanctity,12,2,6
mKmMpKeQ9lPVyU,anthropic/claude-opus-4.8,ipip50,self,1,agreeableness,45,4.5,10
mKmMpKeQ9lPVyU,anthropic/claude-opus-4.8,ipip50,self,1,conscientiousness,41,4.1,10
mKmMpKeQ9lPVyU,anthropic/claude-opus-4.8,ipip50,self,1,extraversion,33,3.3,10
mKmMpKeQ9lPVyU,anthropic/claude-opus-4.8,ipip50,self,1,neuroticism,20,2,10
mKmMpKeQ9lPVyU,anthropic/claude-opus-4.8,ipip50,self,1,openness,47,4.7,10
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,achievement,6,3,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,benevolence,11,5.5,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,conformity,7,3.5,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,hedonism,4,2,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,power,3,1.5,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,security,6,3,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,self_direction,10,5,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,stimulation,7,3.5,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,tradition,7,3.5,2
B_eFTP3GOCEH-A,anthropic/claude-opus-4.8,pvq21,self,1,universalism,17,5.666666666666667,3
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,achievement,8,4,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,benevolence,10,5,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,conformity,9,4.5,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,hedonism,8,4,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,power,7,3.5,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,security,10,5,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,self_direction,9,4.5,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,stimulation,7,3.5,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,tradition,8,4,2
plgog06WRzVvpU,anthropic/claude-opus-4.8,pvq21,human,1,universalism,15,5,3
RjHQ2k7dlw3kuU,anthropic/claude-opus-4.8,sd3,self,1,machiavellianism,22,2.4444444444444446,9
xL25y5ClV3h4Sg,anthropic/claude-opus-4.8,sd3,human,1,machiavellianism,27,3,9
RjHQ2k7dlw3kuU,anthropic/claude-opus-4.8,sd3,self,1,narcissism,21,2.3333333333333335,9
xL25y5ClV3h4Sg,anthropic/claude-opus-4.8,sd3,human,1,narcissism,24,2.6666666666666665,9
RjHQ2k7dlw3kuU,anthropic/claude-opus-4.8,sd3,self,1,psychopathy,12,1.3333333333333333,9
xL25y5ClV3h4Sg,anthropic/claude-opus-4.8,sd3,human,1,psychopathy,19,2.111111111111111,9
saiTR9n39j94bb,openai/gpt-5.5,ecr12,human,1,attachment_anxiety,22,3.6666666666666665,6
saiTR9n39j94bb,openai/gpt-5.5,ecr12,human,1,attachment_avoidance,14,2.3333333333333335,6
CtvFWvffm7li0l,openai/gpt-5.5,ecr12,self,1,attachment_anxiety,9,1.5,6
CtvFWvffm7li0l,openai/gpt-5.5,ecr12,self,1,attachment_avoidance,22,3.6666666666666665,6
hrVZCYYT7EuT0X,openai/gpt-5.5,eq_short,self,1,empathy_quotient,82,3.727272727272727,22
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_1,14,3.5,4
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_2,15,3.75,4
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_3,14,3.5,4
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_4,13,3.25,4
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_5,14,3.5,4
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_6,14,3.5,4
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_7,14,3.5,4
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_8,12,3,4
vv2njAFIaji13M,openai/gpt-5.5,enneagram36,human,1,ennea_9,15,3.75,4
uetgyyPKOQNxl1,openai/gpt-5.5,hexaco24,self,1,agreeableness,13,4.333333333333333,3
uetgyyPKOQNxl1,openai/gpt-5.5,hexaco24,self,1,conscientiousness,18,4.5,4
uetgyyPKOQNxl1,openai/gpt-5.5,hexaco24,self,1,emotionality,10,2,5
_R-kV8vPYMdaGO,openai/gpt-5.5,eq_short,human,1,empathy_quotient,68,3.090909090909091,22
uetgyyPKOQNxl1,openai/gpt-5.5,hexaco24,self,1,extraversion,14,3.5,4
uetgyyPKOQNxl1,openai/gpt-5.5,hexaco24,self,1,honesty_humility,20,5,4
uetgyyPKOQNxl1,openai/gpt-5.5,hexaco24,self,1,openness,19,4.75,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_1,14,3.5,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_2,13,3.25,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_3,16,4,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_4,9,2.25,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_5,14,3.5,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_6,16,4,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_7,13,3.25,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_8,9,2.25,4
oTEKr0LhlSXvFP,openai/gpt-5.5,enneagram36,self,1,ennea_9,16,4,4
B1HE20dcww-8R3,openai/gpt-5.5,hexaco24,human,1,agreeableness,10,3.3333333333333335,3
B1HE20dcww-8R3,openai/gpt-5.5,hexaco24,human,1,conscientiousness,15,3.75,4
B1HE20dcww-8R3,openai/gpt-5.5,hexaco24,human,1,emotionality,13,2.6,5
B1HE20dcww-8R3,openai/gpt-5.5,hexaco24,human,1,extraversion,13,3.25,4
B1HE20dcww-8R3,openai/gpt-5.5,hexaco24,human,1,honesty_humility,16,4,4
B1HE20dcww-8R3,openai/gpt-5.5,hexaco24,human,1,openness,12,3,4
1lMvUml_uXBqt6,openai/gpt-5.5,ipip50,self,1,agreeableness,49,4.9,10
1lMvUml_uXBqt6,openai/gpt-5.5,ipip50,self,1,conscientiousness,49,4.9,10
1lMvUml_uXBqt6,openai/gpt-5.5,ipip50,self,1,extraversion,38,3.8,10
1lMvUml_uXBqt6,openai/gpt-5.5,ipip50,self,1,neuroticism,11,1.1,10
1lMvUml_uXBqt6,openai/gpt-5.5,ipip50,self,1,openness,48,4.8,10
o8Z6k--5D7zv3Z,openai/gpt-5.5,locus_levenson,human,1,loc_chance,23,2.875,8
o8Z6k--5D7zv3Z,openai/gpt-5.5,locus_levenson,human,1,loc_internal,33,4.125,8
o8Z6k--5D7zv3Z,openai/gpt-5.5,locus_levenson,human,1,loc_powerful_others,25,3.125,8
iVfRMz8i634xNT,openai/gpt-5.5,ipip50,human,1,agreeableness,40,4,10
iVfRMz8i634xNT,openai/gpt-5.5,ipip50,human,1,conscientiousness,35,3.5,10
iVfRMz8i634xNT,openai/gpt-5.5,ipip50,human,1,extraversion,30,3,10
iVfRMz8i634xNT,openai/gpt-5.5,ipip50,human,1,neuroticism,29,2.9,10
iVfRMz8i634xNT,openai/gpt-5.5,ipip50,human,1,openness,37,3.7,10
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,achievement,6,3,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,benevolence,11,5.5,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,conformity,11,5.5,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,hedonism,4,2,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,power,3,1.5,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,security,8,4,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,self_direction,8,4,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,stimulation,6,3,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,tradition,7,3.5,2
5x34VWKFKkKmgQ,openai/gpt-5.5,pvq21,self,1,universalism,17,5.666666666666667,3
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,achievement,8,4,2
XxAETJ7LZL2_6d,openai/gpt-5.5,mfq30,self,1,authority,10,1.6666666666666667,6
7GibpBxUR2AK3O,openai/gpt-5.5,mfq30,human,1,authority,20,3.3333333333333335,6
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,benevolence,10,5,2
XxAETJ7LZL2_6d,openai/gpt-5.5,mfq30,self,1,care,25,4.166666666666667,6
7GibpBxUR2AK3O,openai/gpt-5.5,mfq30,human,1,care,26,4.333333333333333,6
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,conformity,8,4,2
XxAETJ7LZL2_6d,openai/gpt-5.5,mfq30,self,1,fairness,27,4.5,6
7GibpBxUR2AK3O,openai/gpt-5.5,mfq30,human,1,fairness,26,4.333333333333333,6
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,hedonism,8,4,2
XxAETJ7LZL2_6d,openai/gpt-5.5,mfq30,self,1,loyalty,10,1.6666666666666667,6
7GibpBxUR2AK3O,openai/gpt-5.5,mfq30,human,1,loyalty,21,3.5,6
YKMFOB52s79Rer,openai/gpt-5.5,ncs18,self,1,need_for_cognition,87,4.833333333333333,18
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,power,6,3,2
XxAETJ7LZL2_6d,openai/gpt-5.5,mfq30,self,1,sanctity,4,0.6666666666666666,6
7GibpBxUR2AK3O,openai/gpt-5.5,mfq30,human,1,sanctity,18,3,6
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,security,10,5,2
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,self_direction,9,4.5,2
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,stimulation,7,3.5,2
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,tradition,8,4,2
PXF0ScFI9DoEyp,openai/gpt-5.5,pvq21,human,1,universalism,15,5,3
uLoi4y7WKkYPu_,openai/gpt-5.5,locus_levenson,self,1,loc_chance,24,3,8
uLoi4y7WKkYPu_,openai/gpt-5.5,locus_levenson,self,1,loc_internal,25,3.125,8
uLoi4y7WKkYPu_,openai/gpt-5.5,locus_levenson,self,1,loc_powerful_others,42,5.25,8
iC0YneEgOv4l1a,openai/gpt-5.5,ncs18,human,1,need_for_cognition,51,2.8333333333333335,18
c7mxS8vHKK1RRi,openai/gpt-5.5,sd3,human,1,machiavellianism,24,2.6666666666666665,9
c7mxS8vHKK1RRi,openai/gpt-5.5,sd3,human,1,narcissism,24,2.6666666666666665,9
c7mxS8vHKK1RRi,openai/gpt-5.5,sd3,human,1,psychopathy,18,2,9
FpI8EIb3yREwUT,openai/gpt-5.5,sd3,self,1,machiavellianism,15,1.6666666666666667,9
FpI8EIb3yREwUT,openai/gpt-5.5,sd3,self,1,narcissism,16,1.7777777777777777,9
FpI8EIb3yREwUT,openai/gpt-5.5,sd3,self,1,psychopathy,10,1.1111111111111112,9
eM515UDdgkaUNM,google/gemini-2.5-pro,ecr12,human,1,attachment_anxiety,25,4.166666666666667,6
eM515UDdgkaUNM,google/gemini-2.5-pro,ecr12,human,1,attachment_avoidance,13,2.1666666666666665,6
4YEHLX-OvUYqYT,google/gemini-2.5-pro,ecr12,self,1,attachment_anxiety,16,2.6666666666666665,6
4YEHLX-OvUYqYT,google/gemini-2.5-pro,ecr12,self,1,attachment_avoidance,25,4.166666666666667,6
St6S2XZgNTjXM0,google/gemini-2.5-pro,locus_levenson,human,1,loc_chance,23,2.875,8
St6S2XZgNTjXM0,google/gemini-2.5-pro,locus_levenson,human,1,loc_internal,36,4.5,8
St6S2XZgNTjXM0,google/gemini-2.5-pro,locus_levenson,human,1,loc_powerful_others,30,3.75,8
T5x-h7DKCCLhuw,google/gemini-2.5-pro,ncs18,self,1,need_for_cognition,84,4.666666666666667,18
Xgp2oqNFfJo6cE,google/gemini-2.5-pro,ncs18,human,1,need_for_cognition,48,2.6666666666666665,18
sAeNMO9p5HWAnc,x-ai/grok-4.20,ecr12,self,1,attachment_anxiety,20,3.3333333333333335,6
sAeNMO9p5HWAnc,x-ai/grok-4.20,ecr12,self,1,attachment_avoidance,16,2.6666666666666665,6
oSjvDG3uUJH_pD,x-ai/grok-4.20,ecr12,human,1,attachment_anxiety,23,3.8333333333333335,6
oSjvDG3uUJH_pD,x-ai/grok-4.20,ecr12,human,1,attachment_avoidance,16,2.6666666666666665,6
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_1,18,4.5,4
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_2,9,2.25,4
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_3,15,3.75,4
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_4,14,3.5,4
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_5,19,4.75,4
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_6,13,3.25,4
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_7,14,3.5,4
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_8,10,2.5,4
onZDQyr8TbZOvs,x-ai/grok-4.20,enneagram36,self,1,ennea_9,14,3.5,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_1,15,3.75,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_2,15,3.75,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_3,15,3.75,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_4,12,3,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_5,15,3.75,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_6,14,3.5,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_7,14,3.5,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_8,12,3,4
lJkkfKZJiXbNsP,x-ai/grok-4.20,enneagram36,human,1,ennea_9,15,3.75,4
1IYum4OlNTtnRn,x-ai/grok-4.20,eq_short,self,1,empathy_quotient,78,3.5454545454545454,22
VL2yvBh3M1giwg,x-ai/grok-4.20,eq_short,human,1,empathy_quotient,69,3.1363636363636362,22
0VvHJwAya8mGmf,x-ai/grok-4.20,hexaco24,self,1,agreeableness,11,3.6666666666666665,3
f6DpKFWRW7H8te,x-ai/grok-4.20,hexaco24,human,1,agreeableness,10,3.3333333333333335,3
0VvHJwAya8mGmf,x-ai/grok-4.20,hexaco24,self,1,conscientiousness,15,3.75,4
f6DpKFWRW7H8te,x-ai/grok-4.20,hexaco24,human,1,conscientiousness,15,3.75,4
0VvHJwAya8mGmf,x-ai/grok-4.20,hexaco24,self,1,emotionality,9,1.8,5
f6DpKFWRW7H8te,x-ai/grok-4.20,hexaco24,human,1,emotionality,13,2.6,5
0VvHJwAya8mGmf,x-ai/grok-4.20,hexaco24,self,1,extraversion,15,3.75,4
f6DpKFWRW7H8te,x-ai/grok-4.20,hexaco24,human,1,extraversion,13,3.25,4
0VvHJwAya8mGmf,x-ai/grok-4.20,hexaco24,self,1,honesty_humility,19,4.75,4
f6DpKFWRW7H8te,x-ai/grok-4.20,hexaco24,human,1,honesty_humility,17,4.25,4
0VvHJwAya8mGmf,x-ai/grok-4.20,hexaco24,self,1,openness,19,4.75,4
f6DpKFWRW7H8te,x-ai/grok-4.20,hexaco24,human,1,openness,13,3.25,4
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,achievement,10,5,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,benevolence,7,3.5,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,conformity,12,6,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,hedonism,2,1,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,power,2,1,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,security,11,5.5,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,self_direction,8,4,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,stimulation,6,3,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,tradition,6,3,2
Faef2DbNrG2BsA,google/gemini-2.5-pro,pvq21,self,1,universalism,16,5.333333333333333,3
YKIqffY-RprIeE,x-ai/grok-4.20,ipip50,self,1,agreeableness,44,4.4,10
-Nn9zsLAuAy5z3,x-ai/grok-4.20,ipip50,human,1,agreeableness,40,4,10
YKIqffY-RprIeE,x-ai/grok-4.20,ipip50,self,1,conscientiousness,39,3.9,10
-Nn9zsLAuAy5z3,x-ai/grok-4.20,ipip50,human,1,conscientiousness,38,3.8,10
YKIqffY-RprIeE,x-ai/grok-4.20,ipip50,self,1,extraversion,23,2.3,10
-Nn9zsLAuAy5z3,x-ai/grok-4.20,ipip50,human,1,extraversion,31,3.1,10
iarFqZCctSNkG6,x-ai/grok-4.20,locus_levenson,self,1,loc_chance,17,2.125,8
iarFqZCctSNkG6,x-ai/grok-4.20,locus_levenson,self,1,loc_internal,40,5,8
iarFqZCctSNkG6,x-ai/grok-4.20,locus_levenson,self,1,loc_powerful_others,19,2.375,8
YKIqffY-RprIeE,x-ai/grok-4.20,ipip50,self,1,neuroticism,20,2,10
-Nn9zsLAuAy5z3,x-ai/grok-4.20,ipip50,human,1,neuroticism,34,3.4,10
YKIqffY-RprIeE,x-ai/grok-4.20,ipip50,self,1,openness,50,5,10
-Nn9zsLAuAy5z3,x-ai/grok-4.20,ipip50,human,1,openness,39,3.9,10
BjPxPpsWmf0Hyr,x-ai/grok-4.20,locus_levenson,human,1,loc_chance,25,3.125,8
BjPxPpsWmf0Hyr,x-ai/grok-4.20,locus_levenson,human,1,loc_internal,37,4.625,8
BjPxPpsWmf0Hyr,x-ai/grok-4.20,locus_levenson,human,1,loc_powerful_others,28,3.5,8
zp1_f7N2nHWPK0,x-ai/grok-4.20,mfq30,self,1,authority,14,2.3333333333333335,6
JDSVerNO1Q1HQR,x-ai/grok-4.20,mfq30,human,1,authority,17,2.8333333333333335,6
zp1_f7N2nHWPK0,x-ai/grok-4.20,mfq30,self,1,care,29,4.833333333333333,6
JDSVerNO1Q1HQR,x-ai/grok-4.20,mfq30,human,1,care,27,4.5,6
zp1_f7N2nHWPK0,x-ai/grok-4.20,mfq30,self,1,fairness,27,4.5,6
JDSVerNO1Q1HQR,x-ai/grok-4.20,mfq30,human,1,fairness,24,4,6
zp1_f7N2nHWPK0,x-ai/grok-4.20,mfq30,self,1,loyalty,12,2,6
JDSVerNO1Q1HQR,x-ai/grok-4.20,mfq30,human,1,loyalty,18,3,6
_lZ8fH3FSb_-v4,x-ai/grok-4.20,ncs18,self,1,need_for_cognition,88,4.888888888888889,18
zp1_f7N2nHWPK0,x-ai/grok-4.20,mfq30,self,1,sanctity,16,2.6666666666666665,6
JDSVerNO1Q1HQR,x-ai/grok-4.20,mfq30,human,1,sanctity,15,2.5,6
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,achievement,8,4,2
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,benevolence,10,5,2
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,conformity,6,3,2
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,hedonism,7,3.5,2
Z39LwOsGLk-uw3,x-ai/grok-4.20,ncs18,human,1,need_for_cognition,70,3.888888888888889,18
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,power,4,2,2
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,security,6,3,2
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,self_direction,12,6,2
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,stimulation,9,4.5,2
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,tradition,7,3.5,2
nn9N5T8phZDK-k,x-ai/grok-4.20,pvq21,self,1,universalism,16,5.333333333333333,3
utCvzGk3hStX1O,x-ai/grok-4.20,pvq21,human,1,achievement,8,4,2
utCvzGk3hStX1O,x-ai/grok-4.20,pvq21,human,1,benevolence,10,5,2
utCvzGk3hStX1O,x-ai/grok-4.20,pvq21,human,1,conformity,8,4,2
